F_ID,LINK_ID,T_ID,경도(생성됨),기하 도형,위도(생성됨),노선ID,노선번호,INDEX,tF_ID,tLINK_ID,tT_ID
1630011400,1630036300,1630010300,126.6801267,LINESTRING,37.45972091,28022004,21_변경,92.0,1630011400,1630036300,1630010300
1630010300,1630035700,1630010200,126.6814395,LINESTRING,37.45835935,28022004,21_변경,93.0,1630010300,1630035700,1630010200
1630010200,1630035300,1630010100,126.68424109999998,LINESTRING,37.45818034,28022004,21_변경,94.0,1630010200,1630035300,1630010100
1630010100,1630034900,1630010000,126.68761780000001,LINESTRING,37.45796689,28022004,21_변경,95.0,1630010100,1630034900,1630010000
1630010000,1630031100,1630008500,126.6895268,LINESTRING,37.4563299,28022004,21_변경,96.0,1630010000,1630031100,1630008500
1630008500,1630025900,1630006900,126.689751,LINESTRING,37.45281509,28022004,21_변경,97.0,1630008500,1630025900,1630006900
1630006900,1650012100,1650017000,126.6948699,LINESTRING,37.45044786,28022004,21_변경,98.0,1630006900,1650012100,1650017000
1650017000,1650057900,1650016900,126.7004313,LINESTRING,37.45009197,28022004,21_변경,99.0,1650017000,1650057900,1650016900
1650016900,1650011800,1630005000,126.7006942,LINESTRING,37.44707074,28022004,21_변경,100.0,1650016900,1650011800,1630005000
1630005000,1650072300,1650014300,126.70160609999999,LINESTRING,37.44334761,28022004,21_변경,101.0,1630005000,1650072300,1650014300
1650014300,1650050100,1650014200,126.70486890000001,LINESTRING,37.44306572,28022004,21_변경,102.0,1650014300,1650050100,1650014200
1650014200,1650149000,1650051300,126.70743759999999,LINESTRING,37.44290170000001,28022004,21_변경,103.0,1650014200,1650149000,1650051300
1650051300,1650153100,1650050300,126.70918219999999,LINESTRING,37.44281589,28022004,21_변경,104.0,1650051300,1650153100,1650050300
1650050300,1650149100,1650050400,126.71255149999999,LINESTRING,37.44284825,28022004,21_변경,105.0,1650050300,1650149100,1650050400
1650050400,1650149200,1650050500,126.7164868,LINESTRING,37.4429259,28022004,21_변경,106.0,1650050400,1650149200,1650050500
1650050500,1650150200,1650050600,126.7178239,LINESTRING,37.44091461,28022004,21_변경,107.0,1650050500,1650150200,1650050600
1650050600,1650155800,1650013800,126.72497309999999,LINESTRING,37.43942091,28022004,21_변경,108.0,1650050600,1650155800,1650013800
